0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,7,9,10,7,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,30,33,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,30,34,35,36,34,30,34,30,34,30,37,38,39,39,39,39,40,41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,73,78,73,78,73,78,73,78,73,78,73,78,73,78,73,78,73,78,73,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,78,73,78,73,78,95,96,97,98,98,98,98,99,100
0,0,0,0,0,0,0,0,101,0,0,0,102,103,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,43,106,107,46,47,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,78,132,133,134,135,136,137,78,73,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,49,53,49,53,49,53,153,154,155,156,157,158,159,160,161,162,163,164,165,73,166,164,96,97,98,98,98,98,98,99,100
0,0,0,0,0,0,0,167,168,169,0,167,170,171,0,0,0,167,168,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,173,174,0,0,0,0,0,0,175,176,177,174,0,0,0,0,0,0,0,104,177,174,0,0,0,104,177,174,0,0,0,0,0,0,0,0,0,0,0,167,168,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,179,0,0,0,0,178,179,0,0,0,0,0,0,0,0,178,179,0,0,42,180,181,44,46,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,49,50,215,50,112,108,216,217,186,218,112,108,112,219,220,48,49,50,215,50,112,221,222,223,224,225,226,227,228,229,230,231,232,233,136,234,235,97,98,98,98,98,98,98,99,100
0,0,0,0,0,0,0,236,237,238,239,236,237,240,239,0,0,236,237,238,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,242,243,244,0,0,0,0,0,241,245,246,247,244,0,0,0,0,0,0,0,248,247,244,0,0,0,248,247,244,0,0,0,0,0,0,0,0,0,0,0,236,237,238,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,179,249,250,251,252,178,179,249,250,251,252,0,0,0,0,178,179,249,250,251,252,178,179,249,253,254,255,256,255,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,255,257,272,259,273,274,182,275,276,183,184,272,277,46,182,278,108,109,218,279,276,280,281,272,259,282,280,283,284,285,286,278,108,109,218,279,276,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,303,303,303,303,303,303,304,305
0,0,0,0,0,0,306,307,308,309,310,307,308,309,311,0,306,307,308,309,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,313,314,315,316,317,315,318,319,316,320,321,318,322,323,324,325,326,315,318,319,313,327,321,328,329,316,330,315,318,331,332,0,0,0,0,0,0,0,0,0,0,0,306,307,308,309,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,179,333,334,335,336,337,338,339,334,335,336,340,341,342,0,0,0,333,334,335,336,340,341,339,334,335,336,340,343,344,345,346,347,272,277,348,349,350,351,181,255,257,272,259,352,353,345,346,347,272,277,348,349,350,351,181,255,257,272,259,352,354,355,276,356,357,358,359,255,257,272,277,348,349,360,361,362,363,355,276,356,357,358,359,364,257,289,365,366,367,368,369,370,371,297,372,373,374,375,376,98,98,98,98,98,98,98,377,378
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,380,381,382,383,384,385,383,386,387,384,388,389,390,391,385,383,392,393,383,386,387,381,394,389,384,385,384,385,383,386,395,396,397,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,399,400,401,402,403,404,405,406,407,402,403,404,408,409,410,0,0,104,401,402,403,404,408,411,407,402,412,407,402,413,414,334,415,416,272,417,418,419,420,421,42,180,347,272,422,423,424,334,415,416,272,417,418,419,420,421,42,180,347,272,422,423,425,426,427,428,429,430,431,344,347,272,432,255,433,434,435,335,436,426,427,428,429,430,431,437,347,289,438,439,440,441,442,443,444,297,445,369,446,447,448,98,98,98,98,98,98,98,99,100
397,398,0,0,0,0,0,0,0,104,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,105,0,0,0,0,0,449,450,451,452,453,452,453,452,453,454,455,452,453,452,453,452,453,452,453,452,453,454,455,452,453,452,453,452,453,452,453,454,455,452,456,457,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,460,461,462,463,464,465,466,461,462,463,464,465,466,467,468,0,0,459,462,463,464,465,466,461,462,463,469,462,463,470,471,472,473,416,272,474,475,476,415,477,0,0,416,272,478,479,480,472,473,416,272,474,475,476,415,477,0,0,416,272,478,479,481,482,483,484,462,463,464,485,416,272,478,180,486,487,482,464,485,482,483,484,462,463,464,485,416,289,488,180,486,489,490,491,492,297,493,494,495,447,448,496,497,498,498,499,98,98,99,100
456,457,458,0,0,0,0,0,0,172,173,174,0,0,0,175,105,0,0,0,104,177,174,0,0,0,0,0,172,173,174,0,0,0,449,500,501,502,503,502,503,502,503,502,504,505,503,502,503,502,503,502,503,502,503,502,504,505,503,502,503,502,503,502,503,502,504,505,503,506,507,508,458,0,0,0,0,0,0,0,175,105,0,0,104,177,174,0,0,0,0,0,0,172,173,174,0,0,0,0,0,175,105,0,0,0,0,0,0,0,0,0,509,510,467,511,512,513,477,466,467,511,512,513,477,466,513,477,0,0,509,511,512,513,477,466,467,511,512,467,511,512,467,468,514,513,416,272,515,0,482,473,477,0,0,416,272,515,514,513,514,513,416,272,515,0,482,473,477,0,0,416,272,515,514,513,514,513,509,511,512,513,0,416,272,515,0,514,513,514,513,0,514,513,509,511,512,513,0,416,289,516,0,514,517,518,519,371,297,493,518,520,447,448,521,522,523,523,524,98,98,99,100
525,526,508,458,0,0,0,0,241,242,243,244,0,0,241,245,527,0,0,0,248,247,244,0,0,0,0,241,242,243,244,0,0,449,500,528,529,530,531,530,531,530,531,530,532,533,531,530,531,530,531,530,531,530,531,530,532,533,531,530,531,530,531,530,531,530,532,533,531,534,535,536,508,458,0,0,0,0,0,241,245,527,0,0,248,247,244,0,0,0,0,0,241,242,243,244,0,0,0,0,241,245,527,0,0,0,0,0,0,0,0,0,0,537,538,539,540,538,539,537,538,539,540,538,539,537,538,539,0,0,0,539,540,538,539,537,538,539,540,538,539,540,538,539,540,538,541,542,543,0,540,538,539,0,0,541,542,543,540,538,540,538,541,542,543,0,540,538,539,0,0,541,542,543,540,538,540,538,0,539,540,538,0,541,542,543,0,540,538,540,538,0,540,538,0,539,540,538,0,541,544,545,0,540,546,547,548,549,550,551,547,552,447,448,521,522,523,523,524,98,98,99,100
